Date,AAPL,SBUX,MSFT,CSCO,QCOM,FB,AMZN,TSLA,AMD,ZNGA
04/30/2012,-1,-1,-1,1,1,,1,1,-1,-1
05/01/2012,-2,-2,-2,2,-1,,2,2,1,-2
05/02/2012,-3,-3,-3,-1,1,,3,3,2,1
05/03/2012,-4,-4,-4,-2,-1,,4,-1,-1,-1
05/04/2012,-5,-5,-5,-3,-2,,-1,-2,-2,-2
05/07/2012,-6,-6,-6,-4,-3,,-2,-3,-3,-3
05/08/2012,-7,-7,-7,-5,1,,-3,-4,-4,-4
05/09/2012,-8,-8,-8,-6,-1,,-4,-5,-5,-5
05/10/2012,-9,-9,-9,-7,1,,1,1,-6,-6
05/11/2012,-10,1,1,-8,-1,,2,2,-7,-7
05/14/2012,-11,-1,-1,-9,-2,,-1,-1,-8,1
05/15/2012,-12,-2,-2,-10,-3,,-2,-2,-9,2
05/16/2012,-13,-3,-3,-11,-4,,-3,-3,-10,3
05/17/2012,-14,-4,-4,-12,-5,,-4,-4,-11,4
05/18/2012,-15,-5,-5,-13,-6,,-5,-5,-12,-1
05/21/2012,1,1,-6,1,-7,,-6,1,1,-2
05/22/2012,2,2,1,2,1,,-7,2,-1,-3
05/23/2012,3,3,-1,3,2,,1,3,-2,-4
05/24/2012,4,4,-2,-1,-1,,-1,4,-3,-5
05/25/2012,5,5,-3,-2,-2,,-2,-1,1,-6
05/29/2012,6,6,1,1,1,,-3,1,2,-7
05/30/2012,7,-1,-1,-1,-1,,-4,-1,-1,-8
05/31/2012,8,1,-2,-2,-2,,1,-2,-2,-9
06/01/2012,-1,-1,-3,-3,-3,,-1,-3,-3,-10
06/04/2012,-2,1,-4,-4,-4,,1,-4,-4,-11
06/05/2012,-3,-1,-5,-5,1,,2,-5,-5,-12
06/06/2012,1,1,1,1,2,,3,1,1,1
06/07/2012,2,2,2,2,3,,4,2,-1,2
06/08/2012,3,3,3,3,4,,5,3,1,3
06/11/2012,-1,-1,-1,-1,-1,,-1,-1,-1,-1
06/12/2012,1,-2,1,1,1,,-2,1,1,-2
06/13/2012,-1,-3,-1,2,2,,-3,2,-1,-3
06/14/2012,-2,-4,1,3,-1,,-4,-1,-2,-4
06/15/2012,1,1,2,4,-2,1.0,1,1,1,1
06/18/2012,2,2,3,5,-3,2.0,2,2,2,2
06/19/2012,3,3,4,6,-4,3.0,3,3,-1,3
06/20/2012,4,4,5,7,-5,4.0,4,4,1,4
06/21/2012,-1,-1,-1,-1,-6,5.0,-1,-1,-1,-1
06/22/2012,1,1,1,1,-7,6.0,1,1,-2,1
06/25/2012,-1,-1,-1,-1,-8,7.0,-1,2,-3,2
06/26/2012,-2,-2,-2,-2,-9,8.0,1,-1,-4,-1
06/27/2012,-3,-3,1,-3,1,-1.0,2,-2,-5,-2
06/28/2012,-4,-4,-1,-4,-1,-2.0,-1,-3,-6,-3
06/29/2012,1,1,1,1,1,-3.0,1,-4,1,-4
07/02/2012,2,-1,2,2,2,-4.0,2,-5,2,1
07/03/2012,3,-2,3,3,3,-5.0,3,-6,3,-1
07/05/2012,4,-3,4,-1,4,1.0,-1,1,4,-2
07/06/2012,5,-4,-1,-2,-1,2.0,-2,-1,-1,-3
07/09/2012,6,1,-2,-3,-2,3.0,-3,1,-2,-4
07/10/2012,7,2,-3,-4,-3,-1.0,-4,2,-3,-5
07/11/2012,-1,-1,-4,-5,-4,-2.0,-5,3,-4,-6
07/12/2012,-2,1,-5,-6,-5,-3.0,-6,4,-5,-7
07/13/2012,1,2,1,-7,1,-4.0,-7,5,-6,-8
07/16/2012,2,-1,2,-8,-1,-5.0,-8,6,-7,-9
07/17/2012,3,1,3,-9,-2,-6.0,-9,-1,-8,-10
07/18/2012,4,2,4,1,1,-7.0,1,-2,-9,-11
07/19/2012,5,3,5,2,2,-8.0,2,-3,-10,-12
07/20/2012,-1,-1,-1,-1,3,-9.0,3,-4,-11,1
07/23/2012,-2,-2,-2,-2,4,-10.0,4,-5,-12,2
07/24/2012,-3,-3,-3,-3,-1,-11.0,-1,-6,-13,3
07/25/2012,-4,-4,-4,-4,1,1.0,-2,-7,-14,4
07/26/2012,-5,1,-5,-5,2,-1.0,-3,-8,-15,-1
07/27/2012,-6,-1,1,1,3,-2.0,1,1,-16,-2
07/30/2012,1,-2,2,2,4,-3.0,2,-1,-17,-3
07/31/2012,2,-3,-1,3,5,-4.0,3,-2,-18,-4
08/01/2012,3,-4,-2,4,6,-5.0,4,-3,-19,-5
08/02/2012,4,-5,-3,-1,-1,-6.0,-1,-4,-20,-6
08/03/2012,5,-6,1,1,1,-7.0,1,1,1,-7
08/06/2012,6,-7,2,2,2,1.0,2,2,-1,1
08/07/2012,7,1,3,3,3,-1.0,3,3,-2,2
08/08/2012,8,2,4,4,4,-2.0,-1,4,1,3
08/09/2012,9,3,5,5,5,-3.0,-2,5,2,4
08/10/2012,10,4,6,6,6,1.0,-3,6,3,-1
08/13/2012,11,5,7,7,7,2.0,-4,7,-1,-2
08/14/2012,12,6,-1,-1,8,-1.0,-5,-1,-2,1
08/15/2012,13,7,-2,1,9,1.0,1,-2,-3,2
08/16/2012,14,8,1,2,10,-1.0,2,1,-4,-1
08/17/2012,15,9,2,3,11,-2.0,3,2,-5,-2
08/20/2012,16,10,3,4,12,1.0,4,-1,-6,-3
08/21/2012,17,11,4,5,-1,-1.0,-1,-2,-7,-4
08/22/2012,18,12,-1,6,-2,-2.0,1,1,-8,1
08/23/2012,19,-1,-2,7,-3,-3.0,2,2,-9,2
08/24/2012,20,1,1,8,1,-4.0,3,-1,-10,3
08/27/2012,21,2,2,9,2,-5.0,4,-2,-11,-1
08/28/2012,22,3,3,10,-1,-6.0,5,-3,-12,-2
08/29/2012,23,4,4,-1,-2,-7.0,6,-4,-13,-3
08/30/2012,-1,5,-1,-2,-3,-8.0,7,-5,-14,-4
08/31/2012,-2,6,1,-3,-4,-9.0,8,-6,-15,-5
09/04/2012,1,7,-1,-4,-5,-10.0,9,-7,-16,-6
09/05/2012,-1,8,-2,-5,-6,1.0,-1,-8,-17,1
09/06/2012,1,9,1,1,1,2.0,1,1,1,2
09/07/2012,2,10,2,2,2,3.0,2,2,-1,-1
09/10/2012,-1,11,-1,-1,-1,4.0,3,-1,-2,-2
09/11/2012,-2,12,-2,-2,1,5.0,4,-2,1,-3
09/12/2012,1,13,-3,-3,2,6.0,5,1,2,1
09/13/2012,2,14,1,1,3,7.0,6,2,3,2
09/14/2012,3,-1,2,2,4,8.0,7,3,4,3
09/17/2012,4,-2,3,-1,5,9.0,-1,4,5,4
09/18/2012,5,-3,4,-2,6,10.0,1,5,-1,5
09/19/2012,6,1,-1,-3,7,11.0,2,6,-2,6
09/20/2012,7,2,1,-4,-1,12.0,3,-1,-3,7
09/21/2012,8,3,-1,-5,-2,13.0,-1,-2,-4,8
09/24/2012,-1,4,-2,-6,-3,-1.0,-2,1,-5,-1
09/25/2012,-2,-1,-3,-7,-4,-2.0,-3,-1,-6,-2
09/26/2012,-3,-2,-4,-8,-5,-3.0,-4,-2,-7,-3
09/27/2012,1,1,-5,1,1,-4.0,1,-3,1,-4
09/28/2012,-1,2,-6,2,-1,1.0,-1,1,-1,-5
10/01/2012,-2,-1,-7,3,-2,2.0,-2,2,-2,-6
10/02/2012,-3,-2,-8,-1,-3,3.0,-3,3,-3,-7
10/03/2012,1,-3,1,1,-4,4.0,1,-1,-4,-8
10/04/2012,-1,-4,2,-1,1,5.0,2,1,-5,1
10/05/2012,-2,-5,-1,-2,2,-1.0,3,-1,-6,-1
10/08/2012,-3,-6,-2,1,-1,-2.0,4,1,-7,-2
10/09/2012,-4,-7,-3,-1,-2,-3.0,-1,-1,1,-3
10/10/2012,-5,-8,-4,-2,-3,-4.0,-2,-2,-1,-4
10/11/2012,-6,-9,-5,-3,-4,-5.0,-3,-3,1,-5
10/12/2012,-7,-10,1,-4,-5,-6.0,-4,-4,-1,-6
10/15/2012,1,1,2,1,-6,-7.0,-5,-5,-2,-7
10/16/2012,2,2,3,2,1,-8.0,-6,1,-3,1
10/17/2012,3,3,4,3,2,1.0,1,2,-4,2
10/18/2012,-1,-1,5,-1,-1,-1.0,-1,-1,-5,3
10/19/2012,-2,-2,-1,-2,-2,-2.0,-2,-2,-6,-1
10/22/2012,1,-3,-2,-3,-3,1.0,-3,-3,-7,-2
10/23/2012,-1,-4,-3,-4,-4,2.0,-4,1,-8,-3
10/24/2012,-2,-5,-4,-5,-5,3.0,-5,-1,-9,-4
10/25/2012,-3,1,-5,-6,-6,4.0,-6,-2,-10,1
10/26/2012,-4,2,1,-7,1,5.0,1,-3,-11,2
10/31/2012,-5,3,2,-8,2,-1.0,-1,1,-12,-1
11/01/2012,-6,4,3,1,3,-2.0,-2,2,1,-2
11/02/2012,-7,5,4,-1,4,-3.0,-3,3,-1,1
11/05/2012,-8,6,5,1,5,-4.0,1,4,1,-1
11/06/2012,-9,7,6,2,6,-5.0,2,5,-1,-2
11/07/2012,-10,8,-1,-1,-1,-6.0,-1,6,-2,-3
11/08/2012,-11,9,-2,-2,1,-7.0,-2,7,-3,-4
11/09/2012,-12,10,-3,-3,2,-8.0,-3,-1,1,-5
11/12/2012,-13,-1,-4,-4,3,1.0,-4,1,-1,-6
11/13/2012,-14,-2,-5,-5,4,-1.0,-5,2,1,-7
11/14/2012,-15,-3,-6,1,5,1.0,-6,3,-1,1
11/15/2012,-16,-4,-7,2,-1,2.0,-7,-1,-2,2
11/16/2012,-17,-5,-8,3,1,3.0,1,1,-3,3
11/19/2012,1,1,-9,4,2,4.0,2,2,1,-1
11/20/2012,2,2,-10,5,3,5.0,3,3,-1,1
11/21/2012,3,3,1,6,4,6.0,4,4,-2,2
11/23/2012,4,4,2,7,5,7.0,5,-1,1,3
11/26/2012,5,5,3,8,6,8.0,6,-2,-1,4
